manufacturer,nationality,kit_count,first_year,last_year,unique_years,span,regularity,has_enough_data,XYZ_Category
Linear-A,Israeli,2,2016,2025,2,10,0.2,False,Недостаточно данных
Linear-A,Romanian,2,2025,2026,2,2,1.0,False,Недостаточно данных
Linear-A,Seleucid,2,2021,2025,2,5,0.4,False,Недостаточно данных
Linear-A,Spanish,2,2018,2020,2,3,0.6666666666666666,False,Недостаточно данных
Linear-A,Tunisian,2,2020,2020,1,1,1.0,False,Недостаточно данных
Lucky Toys,USA,2,2004,2004,1,1,1.0,False,Недостаточно данных
Mars,Algerian,2,2013,2014,2,2,1.0,False,Недостаточно данных
Mars,Dutch,2,2006,2015,2,10,0.2,False,Недостаточно данных
Mars,Mycenaean,2,2013,2014,2,2,1.0,False,Недостаточно данных
Matchbox,USA,2,1976,1990,2,15,0.13333333333333333,False,Недостаточно данных
Metch,British,2,2010,2010,1,1,1.0,False,Недостаточно данных
Metch,Japanese,2,2011,2011,1,1,1.0,False,Недостаточно данных
MiniArt,Burgundian,2,2002,2005,2,4,0.5,False,Недостаточно данных
MiniArt,German,2,2006,2007,2,2,1.0,False,Недостаточно данных
Odemars,British,2,2005,2008,2,4,0.5,False,Недостаточно данных
Odemars,Israeli,2,2006,2007,2,2,1.0,False,Недостаточно данных
Orion,Albanian,2,2008,2009,2,2,1.0,False,Недостаточно данных
Orion,Assyrian,2,2007,2007,1,1,1.0,False,Недостаточно данных
Orion,French,2,2006,2023,2,18,0.1111111111111111,False,Недостаточно данных
Orion,Iraqi,2,2007,2007,1,1,1.0,False,Недостаточно данных
Orion,Israeli,2,2010,2011,2,2,1.0,False,Недостаточно данных
Orion,Scythian,2,2008,2008,1,1,1.0,False,Недостаточно данных
Panzer vs Tanks,Israeli,2,2015,2015,1,1,1.0,False,Недостаточно данных
Pegasus,French,2,2010,2010,1,1,1.0,False,Недостаточно данных
Pobeda,Finnish,2,2008,2010,2,3,0.6666666666666666,False,Недостаточно данных
Pobeda,Russian,2,2010,2010,1,1,1.0,False,Недостаточно данных
Preiser,Russian,2,2003,2004,2,2,1.0,False,Недостаточно данных
RedBox,Albanian,2,2015,2015,1,1,1.0,False,Недостаточно данных
RedBox,Czech,2,2010,2011,2,2,1.0,False,Недостаточно данных
RedBox,Hussite,2,2010,2011,2,2,1.0,False,Недостаточно данных
RedBox,Serbian,2,2015,2015,1,1,1.0,False,Недостаточно данных
Revell,Swedish,2,1990,1991,2,2,1.0,False,Недостаточно данных
Strelets,Egyptian,2,2007,2011,2,5,0.4,False,Недостаточно данных
Strelets,Greek,2,2018,2018,1,1,1.0,False,Недостаточно данных
Strelets,New Zealand,2,2016,2018,2,3,0.6666666666666666,False,Недостаточно данных
Strelets,Rifian,2,2018,2019,2,2,1.0,False,Недостаточно данных
Strelets,Saxon,2,2004,2016,2,13,0.15384615384615385,False,Недостаточно данных
Strelets,Spanish,2,2007,2025,2,19,0.10526315789473684,False,Недостаточно данных
Strelets,Ukrainian,2,2012,2013,2,2,1.0,False,Недостаточно данных
Toxso,USA,2,2014,2014,1,1,1.0,False,Недостаточно данных
Ultima Ratio,CeltIberian,2,2022,2024,2,3,0.6666666666666666,False,Недостаточно данных
Ultima Ratio,Japanese,2,2017,2025,2,9,0.2222222222222222,False,Недостаточно данных
Ultima Ratio,Spanish,2,2022,2024,2,3,0.6666666666666666,False,Недостаточно данных
Ultima Ratio,Swiss,2,2017,2017,1,1,1.0,False,Недостаточно данных
Ultima Ratio,USA,2,2021,2022,2,2,1.0,False,Недостаточно данных
Valiant,British,2,2007,2013,2,7,0.2857142857142857,False,Недостаточно данных
Waterloo 1815,Austrian,2,2006,2006,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Dutch,2,2002,2009,2,8,0.25,False,Недостаточно данных
Waterloo 1815,Greek,2,1977,1977,1,1,1.0,False,Недостаточно данных
Waterloo 1815,Japanese,2,2007,2009,2,3,0.6666666666666666,False,Недостаточно данных
Waterloo 1815,Sudanese,2,2005,2005,1,1,1.0,False,Недостаточно данных
Ykreol,German,2,2007,2009,2,3,0.6666666666666666,False,Недостаточно данных
Zvezda,Polish,2,2008,2009,2,2,1.0,False,Недостаточно данных
Zvezda,Tunisian,2,2006,2007,2,2,1.0,False,Недостаточно данных
Zvezda,Turkish,2,2007,2008,2,2,1.0,False,Недостаточно данных
A Call To Arms,Belgian,1,2005,2005,1,1,1.0,False,Недостаточно данных
A Call To Arms,Dutch,1,2005,2005,1,1,1.0,False,Недостаточно данных
A Call To Arms,South African,1,2001,2001,1,1,1.0,False,Недостаточно данных
A Call To Arms,Zulu,1,2001,2001,1,1,1.0,False,Недостаточно данных
Accurate,Confederate,1,1991,1991,1,1,1.0,False,Недостаточно данных
Airfix,Arab,1,1964,1964,1,1,1.0,False,Недостаточно данных
Airfix,Australian,1,1976,1976,1,1,1.0,False,Недостаточно данных
Airfix,Celtic,1,1969,1969,1,1,1.0,False,Недостаточно данных
Airfix,Japanese,1,1964,1964,1,1,1.0,False,Недостаточно данных
Airfix,Nepalese,1,1976,1976,1,1,1.0,False,Недостаточно данных
Airfix,Spanish,1,1981,1981,1,1,1.0,False,Недостаточно данных
Atlantic,Anatolian,1,1977,1977,1,1,1.0,False,Недостаточно данных
Atlantic,British,1,1975,1975,1,1,1.0,False,Недостаточно данных
Atlantic,Chinese,1,1972,1972,1,1,1.0,False,Недостаточно данных
Atlantic,French,1,1975,1975,1,1,1.0,False,Недостаточно данных
Atlantic,Indian,1,1977,1977,1,1,1.0,False,Недостаточно данных
Atlantic,Japanese,1,1976,1976,1,1,1.0,False,Недостаточно данных
Atlantic,Turkish,1,1977,1977,1,1,1.0,False,Недостаточно данных
BUM,Canadian,1,2011,2011,1,1,1.0,False,Недостаточно данных
BUM,French,1,2011,2011,1,1,1.0,False,Недостаточно данных
BUM,German,1,2004,2004,1,1,1.0,False,Недостаточно данных
BUM,Italian,1,2004,2004,1,1,1.0,False,Недостаточно данных
Caesar,Arab,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Aztec,1,2012,2012,1,1,1.0,False,Недостаточно данных
Caesar,Belize,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Bosnian,1,2008,2008,1,1,1.0,False,Недостаточно данных
Caesar,Celtic,1,2009,2009,1,1,1.0,False,Недостаточно данных
Caesar,Croatian,1,2008,2008,1,1,1.0,False,Недостаточно данных
Caesar,Guatamalan,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Incan,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Japanese,1,2004,2004,1,1,1.0,False,Недостаточно данных
Caesar,Libyan,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Mayan,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Mitannian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Mycenaean,1,2012,2012,1,1,1.0,False,Недостаточно данных
Caesar,Norwegian,1,2008,2008,1,1,1.0,False,Недостаточно данных
Caesar,Nubian,1,2007,2007,1,1,1.0,False,Недостаточно данных
Caesar,Persian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Caesar,Peruvian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Caesar,Serbian,1,2008,2008,1,1,1.0,False,Недостаточно данных
Caesar,Somalian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Caesar,Sudanese,1,2007,2007,1,1,1.0,False,Недостаточно данных
Caesar,Trojan,1,2006,2006,1,1,1.0,False,Недостаточно данных
Coates & Shine,Burundi,1,2006,2006,1,1,1.0,False,Недостаточно данных
Coates & Shine,German,1,2007,2007,1,1,1.0,False,Недостаточно данных
Coates & Shine,Goth,1,2007,2007,1,1,1.0,False,Недостаточно данных
Coates & Shine,Greek,1,2007,2007,1,1,1.0,False,Недостаточно данных
Coates & Shine,Macedonian,1,2007,2007,1,1,1.0,False,Недостаточно данных
Coates & Shine,Polish,1,2007,2007,1,1,1.0,False,Недостаточно данных
Coates & Shine,Rwandan,1,2006,2006,1,1,1.0,False,Недостаточно данных
Coates & Shine,Serbian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Coates & Shine,Tanzanian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Dark Dream Studio,Italian,1,2009,2009,1,1,1.0,False,Недостаточно данных
Dark Dream Studio,Russian,1,2003,2003,1,1,1.0,False,Недостаточно данных
Dark Dream Studio,Spanish,1,2009,2009,1,1,1.0,False,Недостаточно данных
Eagle Games,USA,1,2002,2002,1,1,1.0,False,Недостаточно данных
Eduard,British,1,2008,2008,1,1,1.0,False,Недостаточно данных
Eduard,Czech,1,2008,2008,1,1,1.0,False,Недостаточно данных
Emhar,Portuguese,1,2014,2014,1,1,1.0,False,Недостаточно данных
Emhar,Russian,1,2005,2005,1,1,1.0,False,Недостаточно данных
Emhar,Saxon,1,2005,2005,1,1,1.0,False,Недостаточно данных
Emhar,Spanish,1,2014,2014,1,1,1.0,False,Недостаточно данных
Emhar,USA,1,2005,2005,1,1,1.0,False,Недостаточно данных
Esci,Afghan,1,1987,1987,1,1,1.0,False,Недостаточно данных
Esci,Australian,1,1986,1986,1,1,1.0,False,Недостаточно данных
Esci,Austrian,1,1986,1986,1,1,1.0,False,Недостаточно данных
Esci,Belgian,1,1989,1989,1,1,1.0,False,Недостаточно данных
Esci,Confederate,1,1985,1985,1,1,1.0,False,Недостаточно данных
Esci,Czech,1,1989,1989,1,1,1.0,False,Недостаточно данных
Esci,Dutch,1,1989,1989,1,1,1.0,False,Недостаточно данных
Esci,East German,1,1989,1989,1,1,1.0,False,Недостаточно данных
Esci,Hungarian,1,1989,1989,1,1,1.0,False,Недостаточно данных
Esci,Japanese,1,1982,1982,1,1,1.0,False,Недостаточно данных
Esci,South African,1,1984,1984,1,1,1.0,False,Недостаточно данных
Esci,Sudanese,1,1987,1987,1,1,1.0,False,Недостаточно данных
Esci,Vietnamese,1,1986,1986,1,1,1.0,False,Недостаточно данных
Esci,Zulu,1,1984,1984,1,1,1.0,False,Недостаточно данных
Evolution,Afghan,1,2002,2002,1,1,1.0,False,Недостаточно данных
Evolution,Carthaginian,1,2004,2004,1,1,1.0,False,Недостаточно данных
Evolution,Dacian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Evolution,Italian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Evolution,Romanian,1,2006,2006,1,1,1.0,False,Недостаточно данных
Evolution,Scythian,1,2002,2002,1,1,1.0,False,Недостаточно данных
Evolution,Tajik,1,2002,2002,1,1,1.0,False,Недостаточно данных
Evolution,Tunisian,1,2004,2004,1,1,1.0,False,Недостаточно данных
