ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
158,HaT Persian Heavy Infantry (8059),Iranian,Persian,,,,,,,,,
159,HaT Austrian Infantry (8060),Austrian,,,,,,,,,,
160,HaT Russian Infantry (8061),Russian,,,,,,,,,,
161,HaT 1805 French Line Infantry (8062),French,,,,,,,,,,
162,HaT 1805 French Light Infantry (8063),French,,,,,,,,,,
163,HaT Imperial Roman Auxiliary Infantry (8065),Italian,Roman,,,,,,,,,
164,HaT Persian Medium Cavalry (8076),Iranian,Persian,,,,,,,,,
165,HaT Imperial Roman Legionaries 1st - 2nd Century AD (8082),Italian,Roman,,,,,,,,,
167,Heller British 8th Army (79609),British,,,,,,,,,,
168,Heller Japanese Infantry (79618),Japanese,,,,,,,,,,
169,Heller RAF Personnel (79647),British,,,,,,,,,,
170,Heller U.S.A.A.F. Personnel (79648),USA,,,,,,,,,,
171,Heller German Paratroopers (79653),German,,,,,,,,,,
172,HYTTY Samurai (1001),Japanese,,,,,,,,,,
173,HYTTY Persians (1002),Iranian,Persian,,,,,,,,,
174,HYTTY Historic Figures (1003),Egyptian,French,Hun,Hungarian,Italian,Roman,Romanian,USA,,,
175,HYTTY Carthaginian Mercenaries (1004),Algerian,Greek,Libyan,Spanish,Tunisian,,,,,,
176,HYTTY Alexander The Great Cavalry (2003),Greek,Macedonian,,,,,,,,,
177,IMEX Union Artillery (501),USA,,,,,,,,,,
178,IMEX Confederate Artillery (502),Confederate,USA,,,,,,,,,
179,IMEX Confederate Cavalry (504),Confederate,USA,,,,,,,,,
180,IMEX Union Infantry (505),USA,,,,,,,,,,
181,IMEX Confederate Infantry (506),Confederate,USA,,,,,,,,,
182,IMEX Civil War Accessories (507),USA,,,,,,,,,,
183,IMEX Alamo Defenders (aka Texas Infantry) (509),Texian,USA,,,,,,,,,
184,IMEX Mexican Infantry (510),Mexican,,,,,,,,,,
185,IMEX George Washington's Army (511),USA,,,,,,,,,,
186,IMEX British Redcoats (512),British,,,,,,,,,,
187,IMEX Mexican Cavalry At The Alamo (515),Mexican,,,,,,,,,,
189,IMEX Mexican Artillery At The Alamo (520),Mexican,,,,,,,,,,
190,Italeri Scots Greys (6001),British,,,,,,,,,,
191,Italeri French Infantry (6002),French,,,,,,,,,,
192,Italeri Carabiniers (6003),French,,,,,,,,,,
193,Italeri Highlander Infantry (6004),British,,,,,,,,,,
194,Italeri Russian Grenadiers (6006),Russian,,,,,,,,,,
195,Italeri French Hussars (6008),French,,,,,,,,,,
196,Italeri The Knights (6009),Frankish,,,,,,,,,,
197,Italeri Saracen Warriors (6010),Arab,Egyptian,Iraqi,Syrian,,,,,,,
198,Italeri Confederate Cavalry (6011),Confederate,USA,,,,,,,,,
199,Italeri Confederate Infantry (6014),Confederate,USA,,,,,,,,,
200,Italeri French Imperial General Staff (6016),French,,,,,,,,,,
201,Italeri Napoleonic Wars Accessories (6017),French,,,,,,,,,,
202,Italeri French Line/Guard Artillery (6018),French,,,,,,,,,,
203,Italeri Teutonic Knights (6019),German,,,,,,,,,,
204,Italeri Mongols (6020),Mongolian,,,,,,,,,,
205,Italeri Roman Infantry (6021),Italian,Roman,,,,,,,,,
206,Italeri Gaul Warriors (6022),French,Gaul,,,,,,,,,
207,Italeri Russian Knights (6023),Russian,,,,,,,,,,
208,Italeri Greek Infantry (6024),Greek,,,,,,,,,,
209,Italeri Roman Cavalry (6028),Italian,Roman,,,,,,,,,
210,Italeri Union Artillery Set (6032),USA,,,,,,,,,,
211,Italeri German Infantry (6033),German,,,,,,,,,,
212,Italeri Macedonian Cavalry (6035),Greek,Macedonian,,,,,,,,,
213,Italeri Union Artillery (6038),USA,,,,,,,,,,
214,Italeri Dutch-Polish Lancers (6039),French,Polish,,,,,,,,,
215,Italeri British Light Dragoons (6040),British,,,,,,,,,,
216,Italeri British Artillery (6041),British,,,,,,,,,,
217,Italeri Cossack Cavalry (6042),Russian,,,,,,,,,,
218,Italeri German Paratroopers (6045),German,,,,,,,,,,
219,Italeri American Infantry (6046),USA,,,,,,,,,,
220,Italeri Roman Infantry (6047),Italian,Roman,,,,,,,,,
221,Italeri Barbarian Warriors (6048),German,,,,,,,,,,
222,Lucky Toys Attila and Black Huns (TL0001),Hun,,,,,,,,,,
223,LW Wellington's Generals (0),British,,,,,,,,,,
224,LW Inquisition (2),Italian,Spanish,,,,,,,,,
226,LW Parthian Cataphracts 1 (24),Iranian,Parthian,,,,,,,,,
227,LW Parthian Cataphracts 2 (25),Iranian,Parthian,,,,,,,,,
228,LW Cavalry of Imperial Rome (29),Italian,Roman,,,,,,,,,
230,LW Celtic Warriors (33),Celtic,French,,,,,,,,,
231,LW Napoleonic War Engineers (36),French,,,,,,,,,,
232,LW Bactrian Cavalry (38),Afghan,Tajik,Uzbek,,,,,,,,
234,LW Russian Artillery Crew (40),Russian,Soviet,,,,,,,,,
235,LW Scythians (45),Polish,Russian,Scythian,Ukrainian,,,,,,,
237,Matchbox British Infantry (P5001),British,,,,,,,,,,
238,Matchbox German Infantry (P5003),German,,,,,,,,,,
239,Matchbox British 8th Army (P5005),British,,,,,,,,,,
240,Matchbox Japanese Infantry (P5007),Japanese,,,,,,,,,,
241,Matchbox ANZAC Infantry (P5008),Australian,New Zealand,,,,,,,,,
242,Matchbox NATO Paratroopers (P5009),British,,,,,,,,,,
243,MiniArt Burgundian Knights and Archers (72001),Burgundian,French,,,,,,,,,
262,Nexus Egyptian Infantry (ATL01),Egyptian,,,,,,,,,,
263,Nexus The Egyptian Cavalry (ATL02),Egyptian,,,,,,,,,,
266,Nexus Russian Revolution (ATL09),Russian,,,,,,,,,,
268,Nexus Kit Carson (ATL11),USA,,,,,,,,,,
269,Nexus Ancient Life (ATL14),Greek,,,,,,,,,,
271,Nexus Gold Rush (ATL18),USA,,,,,,,,,,
278,Odemars Samurai (PF01),Japanese,,,,,,,,,,
279,Odemars Persians (PF02),Iranian,Persian,,,,,,,,,
281,Odemars German 7.5 cm PaK 40 Gun (104),German,,,,,,,,,,
282,Odemars Roman Republic Infantry (PF06),Italian,Roman,,,,,,,,,
283,Orion English Pirates (72001),British,English,,,,,,,,,
284,Orion Chechen Rebels (72002),Russian,,,,,,,,,,
285,Orion Modern Russian Federals (72003),Russian,,,,,,,,,,
286,Orion Vikings (72004),Danish,Norwegian,Swedish,Viking,,,,,,,
287,Orion Gladiators (72005),Italian,Roman,,,,,,,,,
288,Orion Roman Sailors (72006),Italian,Roman,,,,,,,,,
289,Revell German Paratroopers (02500),German,,,,,,,,,,
290,Revell German Infantry (02502),German,,,,,,,,,,
291,Revell Japanese Infantry (02507),Japanese,,,,,,,,,,
292,Revell Soviet Infantry (02510),Russian,Soviet,,,,,,,,,
293,Revell German Armoured Infantry (02511),German,,,,,,,,,,
294,"Revell Scottish Infantry, 8th Army (02512)",British,,,,,,,,,,
295,Revell Siberian Riflemen (02516),Russian,Soviet,,,,,,,,,
296,Revell British Infantry (02519),British,,,,,,,,,,
297,Revell British Infantry (02523),British,,,,,,,,,,
298,Revell German Commando Special Forces (KSK) (02524),German,,,,,,,,,,
299,Revell Normans (02550),French,Norman,,,,,,,,,
300,Revell Anglo-Saxons (02551),Anglo-Saxon,British,,,,,,,,,
301,Revell Celts (Gauls) (02553),British,Celtic,French,Italian,,,,,,,
302,Revell Cowboys (02554),USA,,,,,,,,,,
303,Revell Imperial Infantry (02556),Austrian,German,Habsburg Imperial,,,,,,,,
304,Revell Swedish Infantry (02557),Swedish,,,,,,,,,,
305,Revell Union Infantry (02559),USA,,,,,,,,,,
306,Revell British Infantry (02560),British,,,,,,,,,,
307,Revell American Militia (02561),USA,,,,,,,,,,
308,Revell Confederate Pioneers (02564),Confederate,USA,,,,,,,,,
309,Revell Union Artillery (02565),USA,,,,,,,,,,
310,Revell Imperial Artillery (02566),Austrian,German,Habsburg Imperial,,,,,,,,
311,Revell Swedish Cavalry (02567),Swedish,,,,,,,,,,
312,Revell French Grenadier Guards (02570),French,,,,,,,,,,
313,Revell British Infantry (02571),British,,,,,,,,,,
314,Revell Prussian Infantry (02572),German,Prussian,,,,,,,,,
315,Revell Prussian Hussars (02575),German,Prussian,,,,,,,,,
316,Revell French Mounted Guard Chasseurs (02576),French,,,,,,,,,,
317,Revell British Life Guards (02578),British,,,,,,,,,,
318,Revell British Rifles (02581),British,,,,,,,,,,
319,Strelets The French Army's Camp (001),French,,,,,,,,,,
320,Strelets Polish Infantry & French Engineers (003),French,Polish,,,,,,,,,
321,Strelets Vikings Against Franks (004),Danish,Frankish,French,German,Norwegian,Swedish,Viking,,,,
322,Strelets Army of Joan d'Arc (005),French,,,,,,,,,,
323,Strelets Carolingian Cavalry (008),French,German,,,,,,,,,
324,Waterloo 1815 Italian Infantry (at El Alamein) (006),Italian,,,,,,,,,,
325,Waterloo 1815 Polish Infantry 1812/14 (008),Polish,,,,,,,,,,
326,Waterloo 1815 Dutch Belgian Artillery 1815 (009),Belgian,Dutch,,,,,,,,,
327,Waterloo 1815 Greek Infantry (P002),Greek,,,,,,,,,,
328,Waterloo 1815 Custer (P003),USA,,,,,,,,,,
329,Waterloo 1815 US Cavalry (P004),USA,,,,,,,,,,
330,Waterloo 1815 Confederate Cavalry (P005),Confederate,USA,,,,,,,,,
331,Zvezda Russian Knights (8001),Russian,,,,,,,,,,
333,Zvezda Mongols (8003),Mongolian,,,,,,,,,,
334,Zvezda Teutonic Knights (8004),German,,,,,,,,,,
335,Zvezda Greek Infantry (8005),Greek,,,,,,,,,,
336,Zvezda Macedonian Cavalry (8007),Macedonian,,,,,,,,,,
337,Zvezda Saracens (8009),Arab,Egyptian,Iraqi,Syrian,,,,,,,
338,Zvezda Roman Infantry (8013),Italian,Roman,,,,,,,,,
340,Zvezda Napoleonic Guards Cossacks (8018),Russian,,,,,,,,,,
341,Zvezda Macedonian Phalanx (8019),Macedonian,,,,,,,,,,
342,Revell Australian Infantry (02501),Australian,,,,,,,,,,
343,IMEX Sioux Indians (508),USA,,,,,,,,,,
344,Emhar British WWI Artillery (7202),British,,,,,,,,,,
346,Eagle Games American Civil War (01),USA,,,,,,,,,,
349,Zvezda War Elephants (8011),Seleucid,Syrian,,,,,,,,,
350,Revell US Infantry (02503),USA,,,,,,,,,,
351,Atlantic US Marine Corps (82),USA,,,,,,,,,,
352,Matchbox American Infantry (P5002),USA,,,,,,,,,,
353,Revell US Marines (02506),USA,,,,,,,,,,
354,Airfix U.S. Marines (01716),USA,,,,,,,,,,
355,Airfix US Marines (1716),USA,,,,,,,,,,
357,Esci British Infantry Soldiers (212),British,,,,,,,,,,
358,Atlantic Infantry (104),Italian,,,,,,,,,,
359,Atlantic Infantry with Jeep (105),Italian,,,,,,,,,,
360,Revell Africa Corps (02513),German,,,,,,,,,,
361,Esci Afrika Corps Soldiers (206),German,,,,,,,,,,
362,Airfix Afrika Korps (1711),German,,,,,,,,,,
363,Airfix Afrika Korps (01711),German,,,,,,,,,,
364,Heller US Marines (79616),USA,,,,,,,,,,
365,Odemars Roman Siege Troops (PF04),Italian,Roman,,,,,,,,,
366,Airfix Civilians (01706),British,,,,,,,,,,
367,Heller WW2 Afrika Korps (79611),German,,,,,,,,,,
368,HaT Napoleonic French Line Horse Artillery (8039),French,,,,,,,,,,
369,Atlantic German Afrikakorps (88),German,,,,,,,,,,
370,Matchbox Afrika Corps (P5004),German,,,,,,,,,,
371,IMEX Union Cavalry (503),USA,,,,,,,,,,
372,Italeri Union Cavalry (6013),USA,,,,,,,,,,
373,LW Macedonian Artillery (37),Macedonian,,,,,,,,,,
375,LW Ancient Artillery Part 3 - Scorpion (42),Italian,Roman,,,,,,,,,
376,Revell French Knights (02563),French,,,,,,,,,,
378,Italeri French Knights and Foot Soldiers (6026),French,,,,,,,,,,
379,HaT Union Zouaves (8004),USA,,,,,,,,,,
380,LW Soviet Pilots (23),Russian,Soviet,,,,,,,,,
381,HaT Waterloo British Line Infantry (7009),British,,,,,,,,,,
382,Atlantic Alpini (111),Italian,,,,,,,,,,
383,Zvezda Persian Infantry (8006),Iranian,Persian,,,,,,,,,
384,Italeri Persian Infantry (6025),Iranian,Persian,,,,,,,,,
385,Airfix Commandos (01732),British,,,,,,,,,,
386,Airfix Commandos (1732),British,,,,,,,,,,
387,Atlantic Apache's Camp (1006),USA,,,,,,,,,,
388,Nexus Apache Camp (ATL15),USA,,,,,,,,,,
389,HaT French Line Chasseurs (8029),French,,,,,,,,,,
390,Heller British Commandos (79632),British,,,,,,,,,,
391,HYTTY Napoleonic Polish Infantry (2001),Polish,,,,,,,,,,
392,Atlantic Sioux Camp (1012),USA,,,,,,,,,,
393,Atlantic French Infantry (87),French,,,,,,,,,,
394,Atlantic Divers (110),Italian,,,,,,,,,,
395,Airfix WWI German Infantry (01726),German,,,,,,,,,,
396,HaT WW1 German Infantry (7001),German,,,,,,,,,,
397,HaT Hannibal's Carthaginians - African Infantry (8020),Algerian,Carthaginian,Libyan,Tunisian,,,,,,,
398,HaT Hannibal's Carthaginians - Spanish Infantry (8019),CeltIberian,Spanish,,,,,,,,,
399,HaT Carthaginian Command and Cavalry (8056),Algerian,Carthaginian,Tunisian,,,,,,,,
400,Esci Warsaw Pact Troops (242),Czech,East German,German,Hungarian,Polish,,,,,,
401,Atlantic Anti-Air Missiles (121),Italian,,,,,,,,,,
402,Airfix Confederate Infantry (01713),Confederate,USA,,,,,,,,,
403,Accurate Confederate Infantry (7203),Confederate,USA,,,,,,,,,
404,Esci Confederate Infantry (223),Confederate,USA,,,,,,,,,
405,IMEX Lewis and Clark (523),USA,,,,,,,,,,
406,Strelets English Cavalry of Edward I (014),British,English,,,,,,,,,
407,Esci Zulu Warriors (213),South African,Zulu,,,,,,,,,
408,Italeri Zulu Warriors (6051),South African,Zulu,,,,,,,,,
409,Italeri British Infantry (6050),British,,,,,,,,,,
410,Strelets The Scottish Army of Wallace (007),British,Scottish,,,,,,,,,
411,Strelets Army of Henry V (006),British,English,,,,,,,,,
412,Italeri English Knights and Archers (6027),British,English,,,,,,,,,
413,Airfix Sheriff of Nottingham (01721),British,English,,,,,,,,,
414,HaT Sheriff of Nottingham (7014),British,English,,,,,,,,,
415,Revell British Paratroopers (02509),British,,,,,,,,,,
416,Esci British Paratroopers (208),British,,,,,,,,,,
417,Revell English Foot Soldiers (02562),British,English,,,,,,,,,
418,Airfix British Paratroops (01723),British,,,,,,,,,,
419,Airfix Waterloo French Imperial Guard (01749),French,,,,,,,,,,
420,Esci French Imperial Guard (214),French,,,,,,,,,,
421,Revell Soviet Cossacks (02514),Russian,Soviet,,,,,,,,,
422,Airfix Astronauts (01741),USA,,,,,,,,,,
423,Matchbox British Commandos (P5006),British,,,,,,,,,,
425,Dark Dream Studio Landsknechts (72002),German,,,,,,,,,,
430,Airfix Station Accessories (01742),British,,,,,,,,,,
431,Airfix NATO Infantry (01759),USA,,,,,,,,,,
433,Esci British Commandos (210),British,,,,,,,,,,
434,HaT WWI Turkish Infantry (8070),Ottoman,Turkish,,,,,,,,,
435,HaT WWI ANZAC Infantry (8071),Australian,New Zealand,,,,,,,,,
436,Heller WW2 British Parachutists (79623),British,,,,,,,,,,
437,HaT 1805 Russian Line Infantry (8072),Russian,,,,,,,,,,
438,HaT 1805 Russian Light Infantry (8073),Russian,,,,,,,,,,
439,Atlantic Davy Crockett (1005),USA,,,,,,,,,,
440,Revell French Infantry (02505),French,,,,,,,,,,
442,Airfix Waterloo French Artillery (01737),French,,,,,,,,,,
443,Revell German Artillery (02515),German,,,,,,,,,,
445,Italeri Russian Artillery (6053),Russian,,,,,,,,,,
446,Italeri British and Scots Infantry (6058),British,,,,,,,,,,
447,Italeri Italian Mountain Troops (6059),Italian,,,,,,,,,,
448,Zvezda Samurai Army - Infantry (8017),Japanese,,,,,,,,,,
449,Italeri British Paratroopers (6034),British,,,,,,,,,,
450,Italeri Prussian Cuirassiers (6007),German,Prussian,,,,,,,,,
451,HaT Prussian Uhlans (8005),German,Prussian,,,,,,,,,
452,HaT Prussian Dragoons (8002),German,Prussian,,,,,,,,,
453,Accurate Waterloo French Artillery (7213),French,,,,,,,,,,
454,Atlantic U.S. Camp (1007),USA,,,,,,,,,,
455,Airfix US Paratroops (01751),USA,,,,,,,,,,
456,Heller US Paratroopers (79651),USA,,,,,,,,,,
457,Esci U.S. Paratroopers (209),USA,,,,,,,,,,
458,Revell U.S. Paratroopers (02517),USA,,,,,,,,,,
459,Esci French Foreign Legion (237),French,,,,,,,,,,
460,Airfix Foreign Legion (01710),French,,,,,,,,,,
461,Airfix Foreign Legion (1710),French,,,,,,,,,,
462,HaT Foreign Legion (7012),French,,,,,,,,,,
463,Atlantic Indian Brigade (86),Indian,,,,,,,,,,
464,IMEX Chuck Wagon and Prairie Schooner (513),USA,,,,,,,,,,
465,Zvezda Livonian Knights (8016),Latvian,Livonian,,,,,,,,,
466,Airfix WWII Luftwaffe Personnel (01755),German,,,,,,,,,,
467,Revell German Crisis Reaction Forces (KRK) (02522),German,,,,,,,,,,
468,Orion Polish Winged Hussars (72007),Polish,,,,,,,,,,
469,HYTTY Macedonian Infantry (2002),Macedonian,,,,,,,,,,
470,Airfix Civil War Artillery (01714),Confederate,USA,,,,,,,,,
471,Atlantic Italian Carabinieri Band (9005),Italian,,,,,,,,,,
473,A Call To Arms Parliament Infantry (63),British,English,,,,,,,,,
474,Atlantic At The Pharaoh's Court (1501),Egyptian,,,,,,,,,,
475,HaT British Heavy Dragoons (8033),British,,,,,,,,,,
476,Atlantic Medical Personnel (112),Italian,,,,,,,,,,
477,IMEX Munitions Wagon and Ambulance Wagon (514),USA,,,,,,,,,,
482,Heller Luftwaffe Personnel (79655),German,,,,,,,,,,
490,IMEX American Pioneers (516),USA,,,,,,,,,,
491,Atlantic The Trojan Army (1511),Anatolian,Turkish,,,,,,,,,
492,Strelets Russian and Prussian Chiefs of Staff (002),German,Prussian,Russian,,,,,,,,
493,Strelets French Foot Dragoons and Polish Grenadiers (009),French,Polish,,,,,,,,,
494,HaT Waterloo Dutch Infantry (8025),Dutch,,,,,,,,,,
495,Revell US Infantry (02520),USA,,,,,,,,,,
496,Italeri Celtic Cavalry (6029),British,French,,,,,,,,,
497,HaT Celtic Cavalry (8022),British,Celtic,French,German,Italian,,,,,,
498,Airfix WWI American Infantry (01729),USA,,,,,,,,,,
499,Revell Austrian Infantry (02574),Austrian,,,,,,,,,,
501,Esci Commonwealth Infantry (231),Australian,,,,,,,,,,
502,Atlantic Greek Cavalry (1510),Greek,,,,,,,,,,
503,Nexus Greek Cavalry (ATL06),Greek,,,,,,,,,,
504,Waterloo 1815 Greek Cavalry (P001),Greek,,,,,,,,,,
505,HaT French Dragoons (8009),French,,,,,,,,,,
506,Italeri French Dragoons (6015),French,,,,,,,,,,
507,Airfix WWII Gurkhas (01754),Nepalese,,,,,,,,,,
