ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
508,HaT WW2 Gurkhas (7017),Nepalese,,,,,,,,,,
509,Revell Indians (02555),USA,,,,,,,,,,
510,Esci Russian Grenadiers (236),Russian,,,,,,,,,,
511,Waterloo 1815 Folgore Division Infantry (002),Italian,,,,,,,,,,
512,Waterloo 1815 Folgore Division Light Artillery (004),Italian,,,,,,,,,,
513,LW German Cavalry 1914 (53),German,,,,,,,,,,
514,HaT Persian Heavy Cavalry (8050),Iranian,Persian,,,,,,,,,
515,HaT Persian Light Cavalry (8077),Iranian,Persian,,,,,,,,,
516,Zvezda Persian Chariot and Cavalry (8008),Iranian,Persian,,,,,,,,,
517,Italeri Persian Cavalry with Chariot (6036),Iranian,Persian,,,,,,,,,
519,HaT Spanish Cavalry (8055),CeltIberian,Spanish,,,,,,,,,
520,Odemars German Commanders (PF05),German,,,,,,,,,,
521,HaT Italian Ally Cavalry (8054),Italian,,,,,,,,,,
522,Atlantic Heavy Artillery (107),Italian,,,,,,,,,,
523,Italeri French Foreign Legion (6054),French,,,,,,,,,,
524,Esci Modern U.S. Soldiers (239),USA,,,,,,,,,,
525,Atlantic Mao - Chinese Revolution (9010),Chinese,,,,,,,,,,
526,Airfix German Mountain Troops (01752),German,,,,,,,,,,
527,Revell British Foot Artillery (02577),British,,,,,,,,,,
528,Atlantic Fliers (103),Italian,,,,,,,,,,
530,Airfix Guards Band (01701),British,,,,,,,,,,
531,Atlantic Ambulance (113),Italian,,,,,,,,,,
532,HaT British Rocket Troops (8003),British,,,,,,,,,,
533,Atlantic Air Force (102),Italian,,,,,,,,,,
534,HaT Austrian Line Infantry (8027),Austrian,,,,,,,,,,
537,Atlantic Outlaws and Sheriffs (1014),USA,,,,,,,,,,
538,Revell Praetorians (02552),Italian,Roman,,,,,,,,,
539,Dark Dream Studio Pilots of the First World War (72003),British,French,German,Russian,,,,,,,
540,Italeri British Hussars (6052),British,,,,,,,,,,
541,Italeri Union Infantry (6012),USA,,,,,,,,,,
542,Airfix WWI British Infantry (01727),British,,,,,,,,,,
543,Airfix Waterloo British Cavalry (Hussars) (01743),British,,,,,,,,,,
544,Accurate Waterloo British Cavalry (7210),British,,,,,,,,,,
545,HaT Imperial Roman Command (8075),Italian,Roman,,,,,,,,,
546,HaT Imperial Roman Auxiliaries (8074),German,Spanish,Syrian,,,,,,,,
548,Zvezda Russian Foot Artillery (8022),Russian,,,,,,,,,,
549,Italeri French Infantry (6043),French,,,,,,,,,,
550,Zvezda Russian Heavy Infantry Grenadiers (8020),Russian,,,,,,,,,,
551,HaT WW1 British Infantry (7002),British,,,,,,,,,,
552,Italeri Austrian Grenadiers and Infantry (6005),Austrian,,,,,,,,,,
553,Zvezda Gauls (8012),Celtic,French,,,,,,,,,
554,Italeri Austrian and Russian Allied General Staff (6037),Austrian,Russian,,,,,,,,,
555,Revell German Engineers (02508),German,,,,,,,,,,
556,Atlantic Buffalo Hunt (1001),USA,,,,,,,,,,
558,Esci Colonial India British Infantry (232),British,Indian,,,,,,,,,
559,LW Soviet 45mm Anti-Tank Gun 1932 (21),Russian,Soviet,,,,,,,,,
560,Revell Confederate Infantry (02558),Confederate,USA,,,,,,,,,
561,Airfix NATO Ground Crew (01758),British,German,Italian,Spanish,USA,,,,,,
562,Strelets Swedish Infantry of Charles XII (021),Swedish,,,,,,,,,,
563,MiniArt French Knights with Assault Ladders (72002),French,,,,,,,,,,
564,HaT Nubian Infantry (8079),Egyptian,Nubian,Sudanese,,,,,,,,
565,HaT Sea Peoples (8078),Sea People,,,,,,,,,,
566,Strelets Russian Uhlans (015),Russian,,,,,,,,,,
567,MiniArt French Foot Soldiers with Rams (72003),French,,,,,,,,,,
568,Strelets Russian Dragoons of Peter I (010),Russian,,,,,,,,,,
569,Atlantic Roman Legion (1515),Italian,Roman,,,,,,,,,
570,HaT French Line Fusiliers (8041),French,,,,,,,,,,
571,Revell German Paratroops (02521),German,,,,,,,,,,
572,LW Russian 122mm Howitzer M30 (41),Russian,Soviet,,,,,,,,,
573,HaT War Elephants (8023),Algerian,Carthaginian,Tunisian,,,,,,,,
574,Orion Boxer Rebellion (72009),Chinese,,,,,,,,,,
575,Airfix Waterloo Highland Infantry (01735),British,,,,,,,,,,
576,Esci Muslim Warriors (238),Afghan,Indian,Sudanese,,,,,,,,
577,Revell German Infantry (02504),German,,,,,,,,,,
578,Atlantic Geronimo - Apache (1003),USA,,,,,,,,,,
581,Emhar Viking Warriors (7205),Danish,Norwegian,Swedish,Viking,,,,,,,
583,IMEX Vikings (7214),Danish,Norwegian,Swedish,Viking,,,,,,,
584,Airfix Modern Russians (01760),Russian,,,,,,,,,,
585,HaT Numidian Cavalry (8024),Algerian,Numidian,,,,,,,,,
586,Revell Austrian Artillery (02579),Austrian,,,,,,,,,,
587,Atlantic Roman Cavalry (1516),Italian,Roman,,,,,,,,,
588,Zvezda French Infantry (8021),French,,,,,,,,,,
589,Zvezda French Guard Horse Artillery (8023),French,,,,,,,,,,
591,Italeri British and Prussian Allied General Staff (6065),British,German,Prussian,,,,,,,,
592,HaT Russian Dragoons (8012),Russian,,,,,,,,,,
593,Airfix Waterloo British Artillery (01746),British,,,,,,,,,,
595,Italeri British Infantry (6056),British,,,,,,,,,,
596,HaT Waterloo Lutzow Freikorps & Nassau Grenadiers (8097),German,Nassau,Prussian,,,,,,,,
597,HaT Dacians (8069),Dacian,Romanian,,,,,,,,,
598,HaT Ancient Germans (8068),German,,,,,,,,,,
599,Waterloo 1815 WWII Italian Infantry (007),Italian,,,,,,,,,,
600,A Call To Arms British Foot Artillery (64),British,,,,,,,,,,
601,HaT Waterloo Netherlands Militia and Belgian Infantry (8096),Belgian,Dutch,,,,,,,,,
602,IMEX Southwestern Alamo Accessories (533),Mexican,USA,,,,,,,,,
603,Esci NATO Pilots and Ground Crew (243),Belgian,British,Dutch,French,German,Italian,USA,,,,
604,Atlantic Buffalo Bill (1002),USA,,,,,,,,,,
606,IMEX Eastern Friendly Indians (522),USA,,,,,,,,,,
607,Revell German Armoured Infantry (02518),German,,,,,,,,,,
608,HaT Austrian Chevauxleger (8031),Austrian,,,,,,,,,,
609,Pegasus German Waffen SS (7201),German,,,,,,,,,,
610,Airfix Romans (01730),Italian,Roman,,,,,,,,,
611,HaT Romans (7010),Italian,Roman,,,,,,,,,
612,Atlantic The March on Rome - Mussolini and the Black Shirts (9007),Italian,,,,,,,,,,
615,Revell Prussian Infantry (02580),German,Prussian,,,,,,,,,
616,Italeri Russian Infantry (6057),Russian,Soviet,,,,,,,,,
617,HaT Italian Allies (8040),Italian,,,,,,,,,,
618,Italeri French Artillery Set (6031),French,,,,,,,,,,
619,Atlantic Sioux - Sitting Bull (1009),USA,,,,,,,,,,
620,Orion Red 1st Cavalry (72011),Russian,,,,,,,,,,
621,Airfix Royal Horse Artillery (01731),British,,,,,,,,,,
