ID,Header,Release_Year,Aggregate_Rating,Num_Figures
209,Italeri Roman Cavalry (6028),2001,37,17
210,Italeri Union Artillery Set (6032),2002,42,16
211,Italeri German Infantry (6033),1982,,50
212,Italeri Macedonian Cavalry (6035),,,17
213,Italeri Union Artillery (6038),2002,42,13
214,Italeri Dutch-Polish Lancers (6039),,,
215,Italeri British Light Dragoons (6040),,,
216,Italeri British Artillery (6041),1986,,16
217,Italeri Cossack Cavalry (6042),,,
218,Italeri German Paratroopers (6045),1989,,50
219,Italeri American Infantry (6046),1982,,50
220,Italeri Roman Infantry (6047),2002,,35
221,Italeri Barbarian Warriors (6048),,,
222,Lucky Toys Attila and Black Huns (TL0001),2003,38,12
223,LW Wellington's Generals (0),,34,20
224,LW Inquisition (2),2002,40,6
225,LW Vinea (22),2004,,5
226,LW Parthian Cataphracts 1 (24),,17,7
227,LW Parthian Cataphracts 2 (25),,17,7
228,LW Cavalry of Imperial Rome (29),,10,4
229,LW Pirates (31),,38,15
230,LW Celtic Warriors (33),,9,4
231,LW Napoleonic War Engineers (36),,37,16
232,LW Bactrian Cavalry (38),2002,27,5
233,LW Medieval Mortar (39),,29,3
234,LW Russian Artillery Crew (40),,,16
235,LW Scythians (45),2002,27,5
236,LW Onager (50),2002,,5
237,Matchbox British Infantry (P5001),1976,42,49
238,Matchbox German Infantry (P5003),1976,44,49
239,Matchbox British 8th Army (P5005),1977,46,44
240,Matchbox Japanese Infantry (P5007),,49,45
241,Matchbox ANZAC Infantry (P5008),1980,49,42
242,Matchbox NATO Paratroopers (P5009),1983,44,42
243,MiniArt Burgundian Knights and Archers (72001),2002,40,48
262,Nexus Egyptian Infantry (ATL01),,,62
263,Nexus The Egyptian Cavalry (ATL02),,,
264,Nexus US 7th Cavalry (ATL03),,,24
265,Nexus Greek Infantry (ATL05),1977,,
266,Nexus Russian Revolution (ATL09),,,27
267,Nexus Russian WW2 Infantry (ATL10),,,48
268,Nexus Kit Carson (ATL11),,,33
269,Nexus Ancient Life (ATL14),,,42
270,Nexus Cowboys (ATL16),,,16
271,Nexus Gold Rush (ATL18),,,36
277,Odemars Wellington's Generals (0),,,20
278,Odemars Samurai (PF01),,35,32
279,Odemars Persians (PF02),,17,21
280,Odemars Leaders (PF03),,37,20
281,Odemars German 7.5 cm PaK 40 Gun (104),,,
282,Odemars Roman Republic Infantry (PF06),,28,36
283,Orion English Pirates (72001),2001,46,44
284,Orion Chechen Rebels (72002),2001,45,48
285,Orion Modern Russian Federals (72003),2001,45,46
286,Orion Vikings (72004),2002,46,46
287,Orion Gladiators (72005),2002,41,38
288,Orion Roman Sailors (72006),2003,44,42
289,Revell German Paratroopers (02500),1989,38,44
290,Revell German Infantry (02502),1990,47,48
291,Revell Japanese Infantry (02507),1993,47,50
292,Revell Soviet Infantry (02510),1994,44,48
293,Revell German Armoured Infantry (02511),1994,43,50
294,"Revell Scottish Infantry, 8th Army (02512)",1994,46,50
295,Revell Siberian Riflemen (02516),1995,48,41
296,Revell British Infantry (02519),1998,42,48
297,Revell British Infantry (02523),2002,47,48
298,Revell German Commando Special Forces (KSK) (02524),2002,45,46
299,Revell Normans (02550),1989,47,42
300,Revell Anglo-Saxons (02551),1989,45,42
301,Revell Celts (Gauls) (02553),1989,45,50
302,Revell Cowboys (02554),1990,42,50
303,Revell Imperial Infantry (02556),1990,49,47
304,Revell Swedish Infantry (02557),1990,49,47
305,Revell Union Infantry (02559),1991,,50
306,Revell British Infantry (02560),,,50
307,Revell American Militia (02561),,,50
308,Revell Confederate Pioneers (02564),,,31
309,Revell Union Artillery (02565),,,18
310,Revell Imperial Artillery (02566),1991,46,28
311,Revell Swedish Cavalry (02567),1991,49,15
312,Revell French Grenadier Guards (02570),1992,48,48
313,Revell British Infantry (02571),1992,44,48
314,Revell Prussian Infantry (02572),1992,32,48
315,Revell Prussian Hussars (02575),1993,49,17
316,Revell French Mounted Guard Chasseurs (02576),1993,49,18
317,Revell British Life Guards (02578),1994,46,17
318,Revell British Rifles (02581),1996,47,42
319,Strelets The French Army's Camp (001),2001,34,31
320,Strelets Polish Infantry & French Engineers (003),2002,40,48
321,Strelets Vikings Against Franks (004),2002,37,45
322,Strelets Army of Joan d'Arc (005),2003,38,36
323,Strelets Carolingian Cavalry (008),2003,35,12
324,Waterloo 1815 Italian Infantry (at El Alamein) (006),2002,42,36
325,Waterloo 1815 Polish Infantry 1812/14 (008),2002,44,36
326,Waterloo 1815 Dutch Belgian Artillery 1815 (009),2002,37,20
327,Waterloo 1815 Greek Infantry (P002),1977,,
328,Waterloo 1815 Custer (P003),,,68
329,Waterloo 1815 US Cavalry (P004),,,32
330,Waterloo 1815 Confederate Cavalry (P005),1999,19,32
331,Zvezda Russian Knights (8001),2000,39,42
332,Zvezda Christian Knights (8002),,,
333,Zvezda Mongols (8003),,39,22
334,Zvezda Teutonic Knights (8004),1999,,17
335,Zvezda Greek Infantry (8005),,49,45
336,Zvezda Macedonian Cavalry (8007),,43,17
337,Zvezda Saracens (8009),,,
338,Zvezda Roman Infantry (8013),2000,,35
339,Zvezda Siege Machines Kit 2 (8015),,,
340,Zvezda Napoleonic Guards Cossacks (8018),2002,43,15
341,Zvezda Macedonian Phalanx (8019),2002,37,37
342,Revell Australian Infantry (02501),1989,43,49
343,IMEX Sioux Indians (508),1996,43,28
344,Emhar British WWI Artillery (7202),2000,36,24
345,Italeri Battlefield Accessories (6049),,,
346,Eagle Games American Civil War (01),2002,,74
347,Eagle Games Age of Imperialism (02),2002,,74
348,Eagle Games Horses (03),2002,,
349,Zvezda War Elephants (8011),2003,46,7
350,Revell US Infantry (02503),1990,45,47
