ID,Header,Release_Year,Aggregate_Rating,Num_Figures
1176,Odemars The Last Defenders of Berlin (PF17),2007,37,42
1177,Strelets Russian Hussars in Winter Dress (087),2007,44,12
1178,MiniArt Hussites (72010),2007,35,24
1179,RedBox Japanese Peasant Infantry (72010),2007,33,48
1180,Strelets Borodino (084),2007,45,48
1181,Caesar Nubian Warriors (H049),2007,44,
1182,Strelets French Guard Chasseurs in Winter Dress (M010),2007,39,48
1183,Coates & Shine Indian Elephant (8142),2007,48,6
1184,BUM Spanish Security Forces (5010),2007,41,22
1185,Strelets Norman Knights (085),2007,44,12
1186,Strelets Breton Knights (086),2007,40,12
1187,Caesar Ancient Egyptian Chariots (H024),2007,48,14
1188,Italeri British Infantry 1815 (6095),2007,45,48
1189,Strelets Medieval Levy (2) (M006),2007,41,48
1190,Caesar Roman Legionary (H041),2007,47,41
1191,RedBox Ashigaru (Command and Support Group) (72008),2007,38,48
1192,Orion Assyrian Siege Tower (72023),2007,,
1193,Caesar Ancient Germans (H040),2007,44,39
1194,Odemars Macedonians (PF18),,,11
1195,RedBox Ninja (72011),2007,37,48
1196,RedBox Ikko-ikki (72009),2007,34,48
1197,Strelets Arab Cavalry (092),2007,43,12
1198,Strelets Turcopoles (090),2007,43,12
1199,Strelets Military Order Sergeants (088),2007,43,12
1200,Strelets Muslim Foot Warriors (M013),2007,41,48
1201,Strelets Muslim Archers (M014),2007,44,48
1202,Strelets Foot Military Order Knights (M015),2008,39,48
1203,Strelets Into The Valley of Death (901),2007,44,62
1204,MiniArt Roman Cavalry (72014),2007,34,20
1205,Zvezda Vikings (8046),2007,46,41
1206,Zvezda Ancient Egyptian Infantry (8051),2007,42,46
1207,Strelets Military Order Warriors (M012),2007,42,48
1208,Italeri Austrian Infantry 1798-1805 (6093),2007,43,48
1209,Italeri ZiS 3 AT Gun with servants (6097),2007,47,12
1210,GerMan Jacobite Highlanders (0010),2007,41,22
1211,Orion Volkssturm (72017),2007,37,46
1212,BUM Winter Infantry (5007),2007,41,22
1213,Waterloo 1815 Prussian Infantry 1815 (020),2007,40,48
1214,Strelets Roman Auxiliaries 2 (M016),2007,43,48
1215,BUM Spanish Civil War Cavalry (5014),,,
1216,Strelets Napoleonic French Cuirassiers (Summer Dress) (094),2007,46,12
1217,Strelets Guides of Napoleon (095),2007,38,12
1218,Strelets French Hussars (096),2007,43,12
1219,Orion Cossack Cavalry (72014),2007,44,12
1220,Coates & Shine Indian Infantry IV BC (8154),2007,38,48
1221,Strelets Germanic Horsemen (098),2007,38,12
1222,Strelets Batavian Cavalry in Roman Service (097),2007,41,12
1223,Strelets Turkish Seljukes Cavalry (093),2007,44,12
1224,LW Buccaneers (2014),,,
1225,Valdemar Medieval Army on the March (VS001),2007,44,14
1226,HaT French Middle Guard: Fusilier Grenadiers (8167),2007,43,48
1227,HaT 1805-1812 French Line Grenadiers (8166),2007,42,48
1228,MiniArt Germanic Warriors (72013),2007,42,36
1229,Waterloo 1815 Japanese Infantry (022),2007,47,48
1230,Coates & Shine Theban Army (8129),2007,43,60
1231,HaT Late Roman Medium Infantry (8100),2007,40,48
1232,Emhar Prussian Infantry (7213),2008,45,50
1233,HaT Napoleonic French Wurst Wagon (8102),2007,,12
1234,Zvezda Roman Auxiliary Infantry (8052),2007,48,45
1235,RedBox Korean Infantry (72012),2007,35,48
1236,Italeri PaK 40 AT Gun with Servants (6096),2007,47,12
1237,LW Sarmation Cavalry (16),2006,,5
1238,LW Dacian Cavalry (17),2006,,5
1239,Coates & Shine Gothic Army (8133),2007,35,51
1240,HaT French Field Forge (8107),2007,,9
1241,Italeri British Light Cavalry 1815 (6094),2008,44,17
1242,Airfix WWII British Infantry (01762),,,
1243,GerMan Spanish Rifle Battalion 'La Patria' (0004),2008,39,24
1244,LW Dacian Infantry (2010),2007,36,42
1245,Zvezda English Infantry of the 100 Years War (8060),2008,46,45
1246,Orion Scythian Infantry (72025),2008,42,48
1247,Strelets Russian Infantry in Summer Uniform (M018),2008,40,48
1248,Strelets Russian Infantry in Winter Uniform (M017),2008,42,48
1249,Valiant American GIs 1942/44 (VM003),2008,47,64
1250,Strelets Roman Legion before Battle (M019),2008,44,56
1251,Zvezda French Infantry of the Hundred Years War (8053),2008,46,43
1252,RedBox Chinese Infantry (72015),2008,36,48
1253,Strelets Roman Cavalry in Battle (100),2008,42,12
1254,Strelets Roman Cavalry on the March (099),2008,44,12
1255,Italeri Mongol Cavalry (6124),2008,47,15
1256,HaT British Camel Corps (8194),2008,43,12
1257,HaT Egyptian Camel Corps (8193),2008,43,12
1258,Pegasus Gladiators (7100),2008,50,36
1259,Strelets Heavy Brigade (902),2008,43,62
1260,Pegasus Russian Naval Infantry (7270),2008,47,40
1261,Pobeda Finnish Army (72300),2008,36,30
1262,Pobeda Finnish Morane Saulnier 406 (72302),,,
1263,Pobeda PE-2 Bomber (72303),,,
1264,Pobeda Flame-Thrower OT-133 (72304),,,
1265,Pobeda T-26 Light Tank (72305),,,
1266,Pobeda T-26 T Ammunition Transport (72306),,,
1267,Pobeda Russian Tank BT-7 (72314),,,
1268,Pobeda Russian Tank BA-10 (72315),,,
1269,Pobeda Russian T-26 TN Recon (72316),,,
1270,Pobeda Russian T-26-1 (72317),,,
1271,Mars Swedish Infantry (72020),2008,36,48
1272,Mars Russian Paratroopers Spetsnaz (72001),,,
1273,Mars Modern US Soldiers (72003),,,
1274,Mars Normans (72004),,,
1275,Mars Saracen Infantry (72005),,,
1276,Mars Saracens Cavalry & Camels (72006),,,
1277,Mars Crusaders (72007),,,
1278,Mars Russian Heavy Weapon Team (72008),,,
1279,Mars Xerxes Army (72010),2008,28,48
1280,Mars Swedish Cavalry Dragoons (72011),,,
1281,Mars Soviet Assault Group (72012),,,
1282,Mars German Auto-Crew in Action (72013),,,
1283,Mars Swedish Cavalry Cuirassiers (72014),,,
1284,Mars Swedish Artillery (72015),,,
1285,Mars French Artillery (72016),,,
1286,Mars US Infantry with 37mm Gun (72017),,,
1287,Mars Aztec Warriors (72018),,,
1288,Mars Conquistadores (72019),,,
1289,Mars Mujahideen (72002),,,
1290,Zvezda Russian Mounted Knights (8039),2008,47,18
1291,HaT Gallic Chariot with Warrior Queen (8140),2008,46,9
1292,Odemars British Infantry for Hougoumont (PF20),2008,36,42
1293,GerMan Mounted Musketeers (0011),2008,48,9
1294,HaT WWI French Infantry (Early) (8148),2008,43,92
1295,Strelets Napoleonic French Uhlans in Winter Dress (101),2008,39,12
1296,LW Jewish Infantry (2008),2008,27,42
1297,RedBox Korean Heavy Infantry (72014),2008,37,48
1298,Zvezda Turkish Cavalry (8054),2008,45,18
1299,Odemars French Infantry for Hougoumont (PF19),2008,30,42
1300,Orion Scythian Cavalry (72024),2008,43,13
1301,HaT Napoleonic Swedish Cavalry (8178),2008,39,27
1302,GerMan Napoleonic French Camel Corps (0022),2008,43,10
1303,Caesar WWII Chinese Army (H036),2008,47,40
1304,LW Carthaginian Artillery and Infantry (Part 1) (2015),,,
1305,Pegasus German 75mm le IG18 (7510),2008,49,8
1306,Orion Basmachi (72026),2008,43,12
1307,HaT French Guard Chasseurs (8170),2008,42,48
1308,RedBox Korean Guerrillas (72013),2008,38,48
1309,Valdemar Mercenary Crossbowmen (VA106),2008,47,10
1310,Caesar German Army (H035),2008,46,45
1311,Lucky Toys Piedmont Infantry and Bersaglieri (TL0006),2008,40,38
1312,Lucky Toys Garibaldi 'Red Shirts' (TL0009),2008,33,30
1313,GerMan Bergisel 1809 (0030),2008,36,26
1314,Mars Austrian Uhlans (72021),2008,38,15
1315,Zvezda Polish Winged Hussars (8041),2008,48,16
1316,RedBox US Infantry (72017),2008,37,48
1317,Emhar Viking Oarsmen (7218),2008,50,42
1318,Italeri Templar Knights (6125),2008,43,15
1319,Caesar German Panzergrenadiers (Set 1) (H052),2008,47,43
1320,LW Dacian Allies (10),,,
1321,LW Dacian Cavalry (2009),,,
1322,LW Roman Siege Troops (2017),,,
1323,Mars Japanese Infantry with 75mm Mountain Gun (72022),,,
1324,Mars Artillery Serving Staff for Piece of Ordnance 17C (72023),,,
1325,HaT Gallic Command (8138),2008,47,24
1326,RedBox Sikhs (72021),2008,28,48
1327,BUM National Regular Army (5005),2008,41,29
1328,Zvezda Swedish Dragoons of Charles XII (8057),2008,47,18
1329,Waterloo 1815 Prussian Hussars (021),2008,42,14
1330,Waterloo 1815 Prussian Death's Head Hussars (032),2008,41,14
1331,Caesar Republican Roman Army (H045),2008,43,41
1332,Italeri D.A.K. Infantry (6099),2008,43,48
1334,Dapol Station Accessories (C012),1958,,24
1335,HaT 1805 French Grenadiers and Voltigeurs (8171),2008,42,48
1336,RedBox Russian Infantry (72018),2008,30,48
1337,RedBox Japanese Infantry (72020),2008,33,48
1338,BUM Rif War 1920-1927 (5100),2008,41,25
1339,Emhar Crested Knights (7210),2014,49,8
1340,Emhar British Infantry (7214),2014,48,48
1341,Emhar French Infantry (7216),2014,38,44
1342,Emhar Spanish Infantry (7215),2014,47,46
1343,A Call To Arms British Infantry of the 1970s (67),2013,43,32
1344,Hegemony British Army Fusiliers (HG005),2019,16,21
1346,Mars Lithuanian-Russian Heavy Infantry (72066),2014,38,48
1347,BUM Far-West Gunsmith (2104),2013,,4
1348,RedBox Scurrers (72046),2013,46,12
1349,Mars Spanish Field Artillery (72092),2015,37,24
1350,BUM Far-West Town Jail (2102),2013,,5
1351,BUM Far-West Ticket Station (2103),2013,,4
1352,Mars Imperial Field Artillery (72093),2015,34,24
1353,Caesar German Army in Stalingrad (HB09),2014,38,19
1354,Caesar German Army Combat Team One (HB06),2014,44,23
1355,Caesar German Army Combat Team Two (HB07),2014,43,21
1356,Caesar German Army Sturmpioniere (HB08),2014,43,20
1362,BUM Fort West Accessories (2117),2013,,4
1363,BUM Lakotas-Sioux (2130),2013,,9
1364,BUM Sioux Cheyennes Tribe (2131),2013,,7
1365,Heller US Infantry (49601),,,
1366,Heller French Infantry (49602),,,
1367,Heller British Infantry (49604),,,
1368,Heller Russian Infantry (49603),,,
1369,Strelets French Foreign Legion in Skirmish (M150),2021,40,56
1370,Strelets British Infantry in Attack (145),2017,46,43
1371,Caesar Mycenaean Chariot (H021),2012,49,10
1372,Caesar Aztec Warriors (H028),2012,47,33
1373,Caesar Ancient Chinese Shang vs Zhou Dynasty Troopers (H029),2017,,35
1374,Plastic Soldier Russian 45mm Anti-Tank Gun (WW2G20001),2011,44,16
1375,Zvezda Soviet 82mm Mortar with Crew (6109),2011,,4
1376,Caesar WWI French Infantry (1914) (H034),2017,46,34
1377,Caesar German Army (H037),2009,47,37
1378,Caesar WWII French Army (H038),2009,45,37
1379,Mars German Paratroopers (Tropical Uniform) (72123),2021,44,40
1380,Zvezda German 81mm Mortar and Crew (6111),2011,,4
1382,Mars US Infantry (Winter Uniform) (72124),2021,38,40
1383,Caesar Roman Legionary (Set II) (H051),2009,46,38
1384,Caesar WWII German Panzergrenadiers II (H053),2009,48,36
1385,Caesar WWII US Army (Set 1) (H054),2009,42,41
1386,Caesar British Army (H055),2009,45,40
1387,Caesar Partisans in Europe (H056),2008,45,34
1388,Caesar Modern Israeli Defence Force (H057),2011,46,40
1389,Caesar Modern US Elite Force (H058),2008,47,40
1390,Caesar Modern French Army & Chinese PLA (H059),2009,,37
1391,Caesar Modern Special Forces Worldwide (H061),2008,49,41
1392,Caesar Modern German Army (Bundeswehr) (H062),2011,45,37
1393,Caesar Modern Militia (H063),2009,42,36
1394,Caesar Celt Warriors (H064),2009,48,37
1395,Caesar Greek Warriors (Hoplites) (H065),2009,40,37
1396,Caesar Persian Warriors (H066),2009,45,42
1397,Caesar German Nebelwerfer 42 & Raketenwerfer 43 with Crew (H093),2016,49,10
1398,Caesar German Panzergrenadiers (Winter Greatcoat East) (CM7714),2012,,16
1399,Caesar German Panzergrenadier (Kursk) (CM7715),2012,,16
1400,Valiant Germans in Normandy 1944 (VM004),2008,45,68
1401,Mars Turkish Heavy Infantry (72091),2015,,48
1402,Heller German Infantry (49605),1974,,48
1403,Heller German Panzergrenadiers (49606),,,
1404,Ykreol French Staff 1940 (YK20),2013,37,42
1405,Pegasus WWII Russian Support Weapons Teams in Greatcoats (7274),2013,49,26
1406,Zvezda Soviet 85mm Anti Aircraft Gun 52-K (6148),2013,,4
1407,GerMan British Infantry in Egypt 1800 (0023),2010,41,24
1408,Pegasus WWII Russian Mortar Teams in Greatcoats (7273),2013,48,24
1409,Pegasus WWII Russian Infantry in Winter Dress Set 2 (7272),2013,48,34
1410,Pegasus WWII Russian Infantry in Greatcoats (7271),2013,49,40
1411,Pegasus War Against Fascism (7267),2013,,16
1412,Mars Medieval Arkbalista (72065),2013,37,16
1413,Mars Teutonic Field Artillery (72064),2013,39,16
1414,GerMan US Cavalry and Artillery (0007),,,
1415,Pegasus German Fallschirmjäger (7224),2013,48,40
1416,RedBox Osman Akinci Set 2 (72093),2016,39,12
1417,HaT French Light Ambulance (8103),2009,,3
1418,HaT French Pontoon (8108),2009,,
1419,Orion USA Tank Crew Summer Dress (72049),2016,44,36
1420,HaT Celtic Chariot (8139),2008,41,9
1421,Coates & Shine Indian Chariot (8143),2008,43,15
1422,HaT German PaK 36 Anti-tank Gun (8149),2008,38,16
1423,HaT German PaK 40 Anti-tank Gun (8150),2008,37,16
1424,HaT Australian Light Horse (8153),2009,44,30
1425,Strelets Italian Infantry in Defence (M153),2021,37,52
1426,HaT German 7.62cm PaK 36(r) (8156),2008,37,16
1427,HaT Polish Artillery Crew (8157),2016,43,32
1428,HaT WWI US Artillery with 75mm Cannon (8158),2009,36,48
1429,HaT WWI French Artillery Crew (Early) (8159),2018,45,32
1430,HaT Romanian Artillery Crew (8160),2016,45,32
1431,HaT WWI French 75mm Cannon (with Late War Crew) (8161),2009,40,48
1432,HaT Hadendowah Camelry (8208),2010,47,15
1433,HaT German 7.5cm IG 18 Gun (8163),2008,38,16
1434,RedBox Turkish Siege Artillery Gun (72069),2015,37,16
1435,RedBox Turkish Siege Artillery Mortar (72070),2015,39,16
1436,HaT El Cid Andalusian Infantry (8168),2009,48,96
1437,HaT Bavarian Fusiliers (8169),2009,42,48
1438,HaT Brunswick Cavalry (8174),2012,46,12
1439,HaT Württemberg Cavalry (8175),2012,46,12
1440,HaT El Cid Spanish Infantry (8176),2009,45,96
1441,HaT Gatling Gun (8179),2009,48,24
1442,HaT Gardner Gun (8180),2009,46,24
1443,HaT British 17th Lancers (8181),2012,47,15
1444,HaT Natal Native Horse (8182),2008,43,18
1445,HaT Late Roman Medium Cavalry (8183),2012,43,12
1446,HaT Greek Catapult (8184),2009,49,24
1447,HaT Macedonian Hypaspists (8185),2009,44,48
1448,HaT Peninsular War British Infantry (8186),2009,46,92
1449,HaT 1806 Saxon Infantry (8187),2009,42,96
1450,HaT Late Roman Light Cavalry (8188),2010,44,24
1451,HaT El Cid Almoravid Infantry (8189),2008,47,96
1452,HaT Zulus (8191),2011,40,32
1453,HaT 1806 Prussian Hussars (8195),2008,45,12
1454,HaT 1806 Prussian Dragoons (8196),2008,46,12
1455,HaT Napoleonic Prussian Hussars (8197),2012,46,12
1456,HaT Austrian Grenadiers (8198),2011,44,60
1457,HaT WWI German Jaeger (8199),2009,39,48
1458,HaT WWI German Infantry (8200),2009,40,48
1459,HaT El Cid Spanish Light Cavalry (8201),2009,39,12
1460,HaT Colonial Highlanders (8202),2009,40,48
1461,HaT Colonial Wars Indian Infantry (8203),2009,42,48
1462,HaT Austrian Grenzers (8204),2009,42,48
1463,HaT Frontier Light Horse (8206),2012,43,15
1464,Ultima Ratio Union Infantry - Irish Brigade (UR014),2021,40,34
1465,HaT British Mounted Infantry (8209),2008,43,18
1466,HaT British Colonial Artillery (8210),2009,45,24
1467,HaT El Cid Spanish Heavy Cavalry (8213),2009,40,12
1468,HaT French Voltigeurs (8218),2009,44,56
1469,HaT French Light Infantry Chasseurs (Marching) (8219),2010,49,40
1470,HaT 1808-1812 French Light Infantry Carabiniers (8220),2009,46,56
1471,HaT Sassanid Levy Infantry (8205),2013,44,32
1472,RedBox Musketeers of the King of France (72145),2020,46,44
1473,HaT Sassanid Clibanarii (8285),2017,41,12
1474,HaT Sassanid Light Cavalry (8283),2017,40,12
1475,Strelets Highlanders in Square (287),2021,45,43
1476,HaT Swedish Artillery (8231),2010,42,16
1477,RedBox Byzantine Clibanarii Set 1 (72151),2024,41,12
1478,Strelets Russian Infantry in Overcoats Shoulder Arms (218),2021,48,44
1479,RedBox Irish Mounted Troops (72055),2015,43,12
1480,Orion Soviet Assault Group 1945 (72048),2015,39,52
1483,HaT WW2 German Field Wagon (8261),2012,,6
1484,Strelets Highlanders' Firing Line (279),2021,48,43
1485,Waterloo 1815 Italian Mountain Troops 'Alpini' (057),2016,45,36
1486,Zvezda Russian Infantry Command (6815),2015,,5
1487,Zvezda French Line Infantry Command (6816),2015,,5
1488,Zvezda French Foot Artillery (6810),2015,,6
1489,IMEX American Infantry (535),2008,45,49
1490,RedBox Samurai Artillery Set 1 (72090),2016,41,16
1491,Zvezda Soviet Anti-Tank Gun ZIS 3 (6253),2015,,3
1492,Zvezda Russian Dragoons (6811),2015,,3
1493,Strelets Roman Senate 2 (138),2016,44,35
1494,Zvezda German Anti-Tank Gun PaK 40 (6257),2015,,3
1495,Zvezda Russian Foot Artillery (6809),2015,,6
1496,Zvezda Russian Line Infantry (6808),2014,,6
1497,Strelets Tecumseh (M107),2015,41,48
1498,Strelets Republican Roman Legion Ranks (M099),2015,,40
1499,Orion German WWII Panzer Soldiers Basic Set 2 (72047),2015,47,39
1500,Mars French Infantry & Guards (72083),2015,39,48
1501,Zvezda Soviet Headquarters (6132),2016,,
1502,Zvezda Romanian Infantry (6163),2015,,4
1503,Zvezda French Dragoons (6812),2015,,3
1504,Mars Crimean Tatar Infantry (72084),2015,36,48
1505,First To Fight Polish Command (PL1939-023),2015,43,18
1506,Heller British Commandos (49632),1968,,36
1507,Italeri American Infantry (6120),2008,45,48
1508,Italeri German Motorcycles (6121),2009,48,16
1509,Italeri Italian 90/53 Gun with Crew (6122),2009,46,8
1510,Italeri Chinese Cavalry (6123),2009,46,15
1511,Italeri Arab Warriors (6126),2008,35,15
1512,Legio French Cuirassiers (P-720001),2009,49,16
1513,Zvezda Soviet Frontier Guards (6144),2014,,4
1514,Lucky Toys Vlad Tzepes (TL0011),2009,44,34
1515,Lucky Toys Medieval Turks (Mehmed II) (TL0012),2009,44,34
1516,Zvezda Soviet Air Force Ground Crew (6187),2015,,5
1517,Mars Scots Greys (72024),,,
1518,Mars British Infantry (72025),,,
1519,Mars Burgundian Sergeants and Archers (72026),,,
1520,Mars Arquebusiers (72027),2009,33,48
1521,Mars Russian Uhlans (72028),2009,27,12
1522,Mars Russian Dragoons (72029),2009,31,12
1523,Mars Medieval Baltic Crusades (72030),2008,26,36
1524,Mars Swedish Army with Culverin (72031),2009,39,19
1525,Hasegawa U.S. Aerospace Ground Equipment Set (35006),1984,44,4
1526,Orion Modern Israeli Army (Set 1) (72012),2010,45,48
1527,Orion Turkish Cavalry Sipahi (72020),2017,44,12
1528,Orion Byzantine Infantry (12th - 15th Century) (72027),2008,37,44
1530,Pegasus WWI French Infantry (7199),2010,48,40
1532,Pegasus WWII Russian Infantry (Summer Dress) (7268),2009,46,40
1533,Pegasus WWII Russian Infantry (Winter Dress) (7269),2009,45,40
1538,Pegasus WWII French Infantry (7306),2010,48,40
1539,RedBox US Marines (72016),2008,36,48
1540,RedBox Russian Sailors (72019),2008,37,48
1541,RedBox British Royal Marine Light Infantry (72022),2009,36,48
1542,RedBox German Sea Battalion (72023),2009,37,48
1543,RedBox German East Asia Brigade (72024),2009,33,48
1544,RedBox French Sailors (72025),2009,41,48
1545,RedBox French Marines (72026),2009,38,48
1546,RedBox French Infantry (72027),2009,38,48
1547,RedBox Civilian Volunteers (72028),2009,37,56
1548,RedBox Italian Sailors (72029),2009,36,48
1549,RedBox Austrian Sailors (72031),2010,37,48
1550,RedBox Chinese Regiment (72032),2010,32,48
1551,RedBox Italian Bersaglieri (72030),2009,39,48
1552,RedBox British Naval Brigade (72033),2010,32,48
1553,RedBox Gurkhas (72034),2010,36,48
1554,RedBox Chinese Boxers (72035),2010,37,48
1555,RedBox Gangsters (72036),2010,38,56
1556,Strelets Sarmatian Cavalry (020),2012,38,12
1557,Strelets French African Chasseurs (049),2008,45,12
1558,Strelets Highlanders 1898-1902 (M051),2011,34,48
1562,Strelets Jacobites (2) (068),2009,39,44
1563,Strelets Mounted Praetorians (069),2010,44,12
1564,Strelets Norman Cavalry on the March (070),2010,42,12
1565,Strelets Austro-Hungarian Honved (074),2017,42,28
1566,Strelets British Cavalry (075),2011,40,12
1567,Strelets French Artillery (Egypt) (078),2012,45,14
1568,Strelets British Artillery (Egypt) (079),2012,38,14
1569,Strelets French Uhlans in Summer Uniform (102),2009,37,12
1570,Strelets Dacian Cavalry (103),2008,38,12
1571,Strelets Mounted Crusaders in Oriental Dress (104),2008,40,12
1572,Strelets French Cuirassiers in Attack (105),2009,43,12
1573,Strelets French Early Carabiniers (106),2009,41,12
1574,Strelets Thin Red Line (903),2009,44,147
1575,Strelets Roman Legion in Advance (M020),2008,39,48
1576,Strelets Dacian Heavy Infantry (M021),2008,29,48
1577,Strelets Dacian Light Infantry (M022),2008,33,48
1578,Strelets French Infantry on the March (1) (M023),2008,38,48
1579,Strelets WWI Austrian Infantry (M024),2008,40,48
1580,Strelets Medieval Crossbowmen (M025),2009,42,56
1581,Strelets French Infantry in Advance (M026),2009,26,48
1582,Strelets Russian Peasant Levy in Winter Dress (M027),2009,37,48
1583,Strelets Dismounted Mongols (M028),2009,40,48
1584,Valdemar Medieval University (VA121),2009,45,8
1585,Valdemar Teutonic Infantry on the March (VA110),2009,48,
1586,Valdemar Mounted Crusader Command (VA115),2009,44,8
1587,Valdemar Russian Hird (VA113),2009,45,5
1588,Waterloo 1815 Sioux (023),2009,47,12
1589,Waterloo 1815 US Marines (027),2009,44,43
1590,Waterloo 1815 Napoleonic Mounted Line Officers (028),2009,45,10
1591,HaT WWI Belgian Infantry (8290),2018,40,32
1592,Waterloo 1815 Italian Infantry Support Group (034),2009,45,26
1593,Waterloo 1815 Japanese 70mm Gun (003),2009,47,16
1594,Waterloo 1815 Italian 149/40 Artillery (024),2009,47,9
1595,Zvezda French Cuirassiers 1807-1815 (8037),2010,48,19
1596,Zvezda Russian Guard Heavy Artillery (8045),2010,50,35
1597,Zvezda Russian Hussars (8055),2008,49,18
1598,Zvezda Russian Artillery of Peter the Great (8058),2009,48,30
1599,Zvezda Medieval Peasant Army (8059),2009,46,42
1600,Zvezda Austrian Musketeers and Pikemen (8061),2008,46,45
1601,Zvezda Russian Foot Warriors (8062),2009,48,44
1602,Caesar German Mountain Troops (H067),2008,44,45
1603,LW Spanish Army 1500-1600 (2016),2008,25,40
1604,LW Russian Artillery 1500-1700 (2018),2008,21,30
1605,Tragik Dead French Infantry 1809/15 (1),2008,41,12
1606,Tragik Dead Prussian Landwehr 1813/15 (2),2008,42,12
1607,RedBox Osman Akinci Set 1 (72092),2016,40,12
1608,RedBox Samurai Artillery Set 2 (72091),2016,,16
1609,Strelets Confederate Infantry Standing (156),2017,45,50
1610,Orion Slavic Warriors (72028),2009,36,48
1611,Orion Early Rus Warriors (72029),2009,36,48
1613,Odemars Operation Antarctica - Haunebu (CREA04),2009,,42
1614,Co.Ma. Elite Mountain Troops/Alpini (410),,,24
1615,GerMan Catalan Artillery & Barricade (1001),2009,35,6
1616,LW Carthaginian Artillery and Mercenaries (2025),2002,,5
1617,LW WWII Russian Tank Crew (2013),2004,,14
1618,Dark Dream Studio European Knights (72005),2009,44,12
1619,Strelets Jacobites (1) (066),2009,40,38
1620,Valdemar Teutonic Sergeant with Great Axe (VI006),2009,,1
1621,HaT WWI Skoda 75mm Mountain Gun (8244),2011,,
1622,HaT Deport 75mm Gun (8242),2011,,
1623,Linear-A Goths (Set 1) (058),2026,45,17
1624,Strelets Obice da 75/18 Mod 35 Howitzer & Italian Crew (282),2021,39,12
1625,HaT Carthaginian Veterans (8212),2013,39,32
1626,Valdemar Crusader Knight (VI007),2009,,1
1627,Valdemar Crusader Knight with Great Helm (VI008),2009,,1
1628,Strelets Ancient Germans (M035),2009,41,48
1629,Valdemar Crusader with Shield and Horse Pike (VI005),2009,50,1
1630,Valdemar Sergeant Sitting and Resting (VI004),2009,50,1
1631,Valdemar Croatian Light Cavalryman (VI003),2009,49,1
1632,Valdemar Welsh Crusader (VI002),2009,49,1
1633,Valdemar Executioner (VI001),2009,50,1
1634,Pobeda Russian Women Snipers (72331),,,
1635,BUM Tanqueta Blindada 8 ton. 1921 (5047),,,
1636,BUM Horch 830 Radio (5043),,,
1637,Pegasus WWII Russian Infantry (7498),2009,,40
1638,BUM International Brigade Artillery (5042),,,10
1639,Orion Khazar Army (72030),2009,42,24
1640,Zvezda Zaporozhian Cossacks (8064),2009,45,27
1641,Strelets Court and Army of Peter I (905),2009,45,108
1642,Strelets Russian Dragoons in Winter Dress (067),2011,42,12
1643,Strelets Dacians Before Battle (M040),2010,47,56
1644,Strelets Normans on the March (M039),2009,41,48
1645,Strelets Roman Infantry in Winter Dress (M038),2009,34,48
1646,Strelets Roman Velites (M037),2009,37,48
1647,Strelets Scottish Schiltron (M036),2009,38,32
1648,Strelets French Line Infantry (M041),2009,39,48
1649,Fujimi German Anti-tank 88mm Flak 18 (76026),1992,26,6
1650,Italeri Union Infantry (6177),1991,,50
1651,HaT Indian Infantry IV BC (8154),,,
1652,HaT Indian Chariot (8143),,,
1653,HaT Indian Elephant (8142),,,
1654,HaT Macedonian Elephant (8141),,,
1655,HaT Gothic Army (8133),,,
1656,HaT Indian Cavalry (8131),,,
1657,HaT Theban Army (8129),,,
1658,HaT WWI German Colonial Infantry (8123),,,
1659,HaT WWI Serbian Infantry (8122),,,
1661,Strelets Praetorians Ranks (M108),2016,,40
1663,Strelets Lawrence of Arabia (115),2016,44,
1670,HaT Napoleonic Spanish Light Infantry (8300),2014,41,32
1672,Waterloo 1815 French Line Infantry 1815 (056),2017,46,58
1673,Ykreol French Foreign Legion at Bir Hakeim 1942 (YK11),2010,37,48
1674,Pobeda Finnish Artillery (72301),2010,,5
1675,Pobeda Russian Army (72310),2010,37,24
1676,Pobeda Russian Artillery (72311),2010,,8
1678,Preiser Christopher Columbus in America 1492 (16341),1992,46,35
1679,Preiser Modern German Infantry (16506),1974,46,52
1680,Preiser Modern German Sentries and Tank Crew (16510),,,20
1681,Preiser German Horse-Drawn Supply Wagon (16512),,49,5
1682,Preiser German Field Howitzer (16514),,50,8
1683,Preiser German Tank Crew (16515),1998,,20
1684,Strelets Red Army Winter War (M063),2011,42,48
1685,"Preiser General, Runner and Radio Operators (16536)",,49,4
1686,Preiser German Howitzer Gun Crew (16537),,,7
1687,Preiser German PaK Gun Crew (16539),2002,,5
1688,Preiser German Trench Mortar Crew (16540),,48,5
1689,Preiser German Fighting Mortar Crew (16541),,,5
1690,Preiser Soviet Tank Crew 1942 (16546),,,10
1691,Preiser Horse and Hand-Drawn Infantry Carts (16547),,48,4
1692,Preiser Modern US Tank Crew (16548),,,
1693,Ykreol The French Revolution 1789: The Years of Terror (YK14),2004,,10
1694,Preiser Modern German Army Band (16550),,,59
1695,Preiser Refugees (16558),,,7
1696,Mars Polish Infantry Mercenaries (Haiduks) (72033),2009,39,48
1697,Preiser German Mortar and Crew (72517),,49,5
1698,Preiser German PaK40 Crew (72518),2002,50,5
1699,"Preiser Soviet Tank Crewmen, 1942 (72526)",,50,10
1700,"Preiser Civil Airline Personnel, Travellers & Ground Crews (72528)",,48,18
1701,"Preiser Military Police, Vienna 1945 (72529)",,41,5
1702,Preiser Tank Crew US Army 2000 (72530),,47,8
