manufacturer,nationality,Recency,Frequency,Magnitude
Orion,Bulgarian,18,1,37.0
Orion,Kazakhstani,18,1,43.0
Orion,Kyrgyzstani,18,1,43.0
Orion,Tajikistani,18,1,43.0
Orion,Turkmenistani,18,1,43.0
Orion,Uzbek,18,1,43.0
Pegasus,Italian,18,1,50.0
Pobeda,Finnish,18,1,36.0
RedBox,Indian,18,1,28.0
Tragik,French,18,1,41.0
Tragik,German,18,1,42.0
Valiant,USA,18,1,47.0
Zvezda,Austrian,18,1,46.0
HaT,Greek,17,8,41.25
Italeri,Russian,17,5,40.6
Dark Dream Studio,German,17,4,42.0
GerMan,French,17,4,43.5
HaT,Bavarian,17,4,38.25
HaT,Macedonian,17,4,41.0
Pegasus,USA,17,4,48.5
HaT,Australian,17,3,44.333333333333336
Dark Dream Studio,British,17,2,46.0
Dark Dream Studio,French,17,2,46.0
HaT,New Zealand,17,2,44.5
HaT,Saxon,17,2,33.0
Orion,Albanian,17,2,36.5
Waterloo 1815,Dutch,17,2,41.0
Waterloo 1815,Japanese,17,2,47.0
Zvezda,Polish,17,2,47.5
Caesar,Celtic,17,1,48.0
Caesar,Persian,17,1,45.0
Caesar,Somalian,17,1,42.0
Dark Dream Studio,Italian,17,1,44.0
Dark Dream Studio,Spanish,17,1,44.0
GerMan,Hungarian,17,1,37.0
Italeri,Chinese,17,1,46.0
Legio,French,17,1,49.0
Lucky Toys,Romanian,17,1,44.0
Lucky Toys,Turkish,17,1,44.0
Lucky Toys,Wallacian,17,1,44.0
Mars,Saxon,17,1,38.0
Mars,Scottish,17,1,36.0
Orion,Bosnian,17,1,36.0
Orion,Georgian,17,1,42.0
Orion,Khazar,17,1,42.0
Orion,Serbian,17,1,36.0
Orion,Slav,17,1,36.0
Strelets,Mongolian,17,1,40.0
Valdemar,Croatian,17,1,49.0
Valdemar,Cuman,17,1,46.0
Valdemar,German,17,1,48.0
Valdemar,Russian,17,1,45.0
Valdemar,Ukrainian,17,1,46.0
Valdemar,Welsh,17,1,49.0
Waterloo 1815,Brunswick,17,1,45.0
Waterloo 1815,Nassau,17,1,45.0
Zvezda,Kazak,17,1,47.0
Zvezda,Scythian,17,1,47.0
Zvezda,Ukrainian,17,1,45.0
Italeri,British,16,11,41.18181818181818
Italeri,USA,16,11,43.18181818181818
GerMan,Spanish,16,9,40.333333333333336
Orion,Ukrainian,16,8,42.0
Strelets,Dacian,16,6,38.5
Italeri,Italian,16,5,41.4
